TitleEng,TitleRus,Genre,Story,Rating
Alive: Saishuu Shinkateki Shounen,Живой: Последняя эволюция,Драма Научная фантастика Приключения Психологическое Романтика Сверхъестественное Сёнен Трагедия Фантастика Экшен ," Кано Тайске в раннем детстве остался без родителей - их жизни забрала автомобильная авария, оставив его с сестрой. Прошли годы, но память о гибели родителей въелась глубоко в его сердце... Тайске со своими лучшими друзьями, Мегуми и Хиросэ, ходит в одну школу. Тем временем по всему миру прокатывается странное и необъяснимое бедствие, которое позже назовут ""вирусом самоубийства"" - множество людей по всему миру сводят счёты с жизнью безо всяких на то причин... Кано и сам становится свидетелем такого проишествия... Друг Тайске, Хиросэ, всегда был слабаком и его постоянно задирают старшеклассники, из-за чего Тайске постоянно приходится вытаскивать своего друго изо всяких передряг. Но однажды Кано не успел. Узнав, что Хиросэ увели на крышу, он рванул на помошь другу... и застал того в луже крови посреди изувеченых тел его обидчиков... ",7.84
Ningyou no Kuni,Страна кукол - Апосимз,Научная фантастика Постапокалиптика Сёнен Фантастика Экшен ," События происходят на замёрзшей планете, заваленной инопланетными артефактами. ""Страна Кукол"" - история о человеке и его встрече, оказавшейся для него судьбоносной. ",8.56
Bullet Armors,Бронебойная пуля,Комедия Меха Научная фантастика Приключения Романтика Сёнен Фантастика Экшен ," В этом мире есть таинственные машины, известные как ""Тремор"". Неизвестно кто их создал и с какой целью. Но более загадочная часть ""Тремор""ов так это их непрерывная эволюция . И в этом мире мальчик пытается найти своего пропавшего отца. ",9.0
Abara,Абара,Драма Научная фантастика Сверхъестественное Сейнен Фантастика Фэнтези Экшен ," Новая манга Цутому Нихэя, выдержанная в строгом стиле Blame! и DigimortalКогда неизвестное существо нападает на город, человек со странными возможностями неохотно вступает в схватку...Раскрыв свою личину, он попадает в поле зрения темной правительственной организации...Действие Abara происходит в антиутопичном мире, заполненном огромными структурами. История вращается вокруг существ, известных как Гауна. Гауны - это люди, которые могут формировать броню и вооружение вокруг себя преобразовывая свой скелет. Преобразование начинается вокруг спинного хребта и затем формирует слоистые образования.История сосредотачивается на одном таком Гауне, известном как Кудо Дэндзи. ",8.07
Mouryou no Yurikago,Колыбель монстров,Детектив Драма Сёнен Ужасы Хентай Экшен Этти ," Группа школьников в сопровождении учителей отправилась на экскурсию на круизном лайнере. После таинственного инцидента школьники теряют сознание. А придя в себя обнаруживают, что корабль тонет, да ещё и перевернувшись к верху дном. А дополняет это всё зомби, бродящие по кораблю. ",8.25
Kigurumi,Кигуруми,Драма Сверхъестественное Сейнен Трагедия Ужасы Фэнтези Экшен ," Плюшевые животные поедают людей, вызывая хаос и множество вопросов. ",6.22
Enigma,Энигма,Детектив Драма Комедия Приключения Психологическое Сверхъестественное Сёнен Школа Экшен ," Хаиба Сумио ученик средней школы в Токио, обладающий интересной способностью... Он может внезапно заснуть и проснуться от видения будущего, записанного в его ""Дневнике снов"". Благодаря этой способности, Сумио помогает людям избегать бед, до их наступления, пока однажды его мирное существование не было нарушено... ",6.0
Oukoku Game,Подчиняясь правилам игры,Детектив Драма Психологическое Сверхъестественное Сёнен Трагедия Ужасы ," Спустя некоторое время после Реставрации Мэйдзи святая дева была распята и сожжена на костре. Столетие спустя Катори и шесть его друзей были призваны в её мир за гранью бытия, где они получили Великое Поручение: Построить Королевство и научить все народы. Каждый день в полночь каждый из них будет получать роль Короля, Аристократа или Плебея. И согласно иерархии нижестоящие подчиняются вышестоящим. Смогут ли они сражаться и победить, прежде чем распри, взращенные на их собственных желаниях, не разделят их? ",7.38
Death Note post-series,Тетрадь Смерти. После истории,Детектив Драма Психологическое Сверхъестественное Сёнен Трагедия Ужасы ," Продолжение культовой истории! После гибели L за расследование дела о таинственном убийце Кире берется его талантливый последователь - Ниар. Благодаря его усилиям, Ягами Лайт разоблачен и в последствии убит собственным шинигами. Так закончилась история знаменитого убийцы, борца за справедливость, избавляющегося от преступников при помощи Тетради Смерти. Однако, спустя несколько лет, загадочные смерти возобновляются. Другие цели, другие мотивы, но все тот же метод убийства. Неужели появился новый Кира?.. Неару придется еще раз доказать, что он - достойный преемник гениального детектива. ",7.38
Capeta,Скоростная формула,Драма Комедия Сёнен Спорт ," Главный герой - 10-летний ребенок. Его зовут Капета (Capeta). Его отец - строительный рабочий и мало времени проводит дома, в результате Капета очень самостоятелен для своего возраста. Матери в семье нет, она умерла, когда Капета был ещё младенцем. Отец Капеты хотя и очень занят, но заботится о своем ребёнке и старается хоть как-то развеять его грусть.Однажды, во время работы отец видит рядом ... картинг, где как раз состязаются дети возраста Капеты. Кстати, Капета очень любит гоночные машины. Дома он собирает из деталек игрушки Lego машинку F1, а на улицах его внимание привлекают машины стритрейсеров.Хотя картинг очень дорогое удовольствие, отец приводит Капету на трассу. Во время гонки Капете удаётся проявить недюжинную смекалку и обогнать местного чемпиона. Он привлекает к себе внимание... Что это? Рождение нового ""шумахера""? Кто знает... ",10.0
Skyhigh,Небесная высь,Драма Сверхъестественное Сейнен Ужасы ," Души умерших людей попадают к Вратам Скорби. Там их встречает стражник, который предлагает выбрать, что делать дальше. И только сама душа сможет определить свою дальнейшую судьбу.Skyhigh: Karma (Сиквел)Skyhigh: Shinshou (Сиквел)Skyhigh 4 (Сиквел)Skyhigh: Hévәn (Сиквел) ",7.71
Billion Dogs,Миллиард собак,Драма Комедия Сёнен Хентай Экшен ," В некотором царстве, в некотором государстве, в одном тихом, мирном японском городке жили-были два школьника: один сын мэра, а другой никто. Но постойте! При чём тут ножи, драки, махинации и якудза? Ничего себе школьнички пошли - того и гляди, взрослых под каблук загонят. Погоня за тремя миллиардами начинается! ",8.57
Kamisama no Iutoori,Страшная воля богов,Драма Психологическое Сверхъестественное Сёнен Трагедия Ужасы Школа Экшен ," Новый день Такахаты Сюна в школе начинается так же, как и обычно: тихо и скучно. Но на самом деле это не так. После того, как его учитель умер, он и его одноклассники оказываются вынуждены играть в детские игры на выживание. Никто не знает, кто стоит за этой загадочной смертельной игрой и никто не знает, когда эта игра закончится. Единственное, что остаётся Такахате Сюну и другим ученикам – выиграть или умереть…Описание: Wake up TeamKami-sama no Iutoori Ni (продолжение) ",8.37
Shuumatsu no Tenki,Сводка катастроф,Драма Сверхъестественное Сейнен Ужасы Экшен ," На свете слишком много ненужных людей. Эта история о человеке, который считал так же. Ему 25 лет, он без денег, без работы, без подружки. Курокава увлекается аниме ""Воспоминания Мелоди"" и, в поисках легкой жизни, приобретает особую способность - ""Ба-бах!"". ",5.6
Green Worldz,Зеленые миры,Драма Научная фантастика Постапокалиптика Сверхъестественное Сёнен Ужасы Фантастика Хентай Экшен ," Растения поглотили Землю.В 2017 году внезапно растительность Токио с легкостью поглотила человечество за считанные дни. Несколько случайно уцелевших борются за жизнь в подземке, но припасы на исходе...Сможет ли обычный школьник Акира противостоять растениям-убийцам в битве не на жизнь, а на смерть? ",8.48
Crayon Days - Daikirai na Aitsu,Дни рисования,Комедия Романтика Сёдзе Школа ," Ичиносе Шима особо не отличалась внешностью, чувством стиля, умом, да и в своем любимом деле была далеко не лучшая. Но она решилась поехать в Токио и поступить в знаменитую художественную школу! Там она встречает красивого парня со сложным характером и соседей, которые любят пошутить... Но что же будет дальше? ",8.89
Shigurui,Одержимые смертью,Боевые искусства Драма Исторический Самураи Сейнен Трагедия Хентай Экшен Этти ," Действие происходит в 6-ой год эры Кан-эй (1629), в начале периода Эдо. Основное место действия - провинция Суруга, замок Сумпу (замок, в котором окончил свои дни Иэясу Токугава (первый сёгун Токугава). Даймё Таданага Токугава, младший брат Иэмицу (третьего сёгуна Токугава) и внук Иэясу, в нарушение всех сложившихся традиций решил устроить турнир с использованием настоящего оружия, что повлекло смерть 16-ти из 22-ух мечников, принявших участие в турнире по распоряжению Таданаги. ",8.63
Green Boy,Новичок,В цвете Веб Романтика Сёнен Спорт Школа ," Чжэ Ин - целеустремленная девушка, которая хочет быть чемпионкой и Тхэ Чжин - простой парень, который любит её. Преграды на их пути к званию чемпиона и летняя история любви, которая совсем не к месту. ",8.83
GTO: Shonan 14 Days,Крутой учитель Онидзука: 14 дней в Сёнане,Драма Комедия Сёнен Экшен Этти ," Это продолжение манги GTO (Great Teacher Onizuka). Действие происходит сразу после Teshigawara арки. Если ты поклонник аниме и эти 3 буквы для тебя не пустой звук, то о Онизуке Экичи ты знаешь все. Ты знаешь о его детстве, о его бурной молодости в бытность учителем в «Академии Святого Леса», и о его криминальном прошлом, одним словом все… Все, кроме его четырнадцати дневных каникул в Шонане! Что ожидает его в эти две недели лета? Жаркие погони, Теплая дружба и… Горячие девушки! Хочешь подробностей? ",9.16
"Nice to Meet You, Kami-sama","Очень приятно, Бог",Демоны Драма Комедия Романтика Сверхъестественное Сёдзе Фэнтези Школа ," Достаточно сделать лишь шаг в тень, и ты увидишь иной мир. Вперед же, в мир сумрака кустов и колодцев, в мир духов и демонов!  Обычная девушка-школьница Момодзоно Нанами, оказавшись на улице и без гроша, вовсе не думала о богах и ёкаях. Но в храме бога земли, где она находит пристанище и друзей, ее ждут загадки времени и одинокий лис-хранитель. Просто ли человеку стать богом? И чем обернется любовь смертной девушки и бессмертного оборотня-кицунэ, однажды уже потерявшего возлюбленную?  История эта – совсем не простая. Здесь в канву романтики, школы, гарема и прочих популярных жанров манги вплетены события драматические и неоднозначные. Вместе с героями, Нанами и Томоэ, читатели видят свет бессмертной любви, сметающей все преграды, переживают горечь предательства и боль утраты, которую не вылечит даже время. Два мира – смертных и бессмертных – сплетаются в объятиях девушки и лиса ",9.37
Kimi ni shika Kikoenai,"Никто не слышит меня, кроме тебя",Драма Психологическое Сверхъестественное Сёнен Трагедия ," Робкая и неразговорчивая школьница все время думает о мобильном телефоне, которого у нее нет. Воображает его у себя в голове, создает идеальный. И что выдумаете? Однажды он зазвонил, кто по ту сторону телефона? Это мы и узнаем... ",8.63
Durarara!!,Дюрарара!!,Детектив Драма Комедия Романтика Сверхъестественное Сёнен Экшен ," Микадо Рюгаминэ долго мечтал о полной приключений жизни в большом городе, а потому, когда давний друг детства Масаоми зовёт его перевестись в школу Икебукуро, Микадо с радостью соглашается. Но стоит ему приехать, как Масаоми запугивает несчастного парня историями о «держащих» город личностях: непобедимом уличном бойце, таинственном информаторе и интернет-банде «Доллары». А сразу после этого и без того запуганный Рюгаминэ сталкивается с городской легендой — всадницей без головы, разъезжающей на чёрном мотоцикле (и работающей подпольным курьером). Дальше — хуже. Сверхъестественные события, банда «Жёлтые платки» и прочие неприятности закручиваются в тугой узел, швыряющий Икебукуро в натуральный хаос. ",7.73
IS: Infinite Stratos,Бесконечные небеса,Гарем Комедия Меха Научная фантастика Романтика Сейнен Фантастика Школа Экшен ," Японские инженеры создают экзоскелет IS (Infinite Stratos), которой становится основой боевого доспеха. Однако из-за некоторых особенностей носить его могут только женщины, в связи с чем возникает неравноправие полов и в обществе доминирует именно женщины. 15-летний Итика Оримура поступает в школу для подготовки пилотов, потому что неожиданно для всех ему удаётся активировать IS на городском экзамене. В результате он становится единственным юношей в академии. ",7.95
Sexual Hunter Riot,Твои трусики спасут мир!,Гарем Комедия Романтика Сверхъестественное Сёнен Школа Экшен Этти ," Кирионира, демоны существующие в другом измерении и проникающие в мир людей, через человеческие сны. Единственная надежда человечества в борьбе со злом это Охотники, которые используют свое половое влечение как источник сил в сражении с демонами.Рику Йоуичи, потомственный охотник, обладающий изрядным запасом сексуальной энергии, благодаря чему он стал великим охотником и смог одолеть зло. Но вернувшись в родной городок ему открывается правда, что не все демоны уничтожены и вторжение в мир людей продолжается. Но без своей сексуальной энергии он не сможет противостоять злу, чтобы получить ее, ему потребуется помощь своей одноклассницы и друга детства Нанбы Мидори, однако она не хочет ему помогать. Сможет ли наш герой остановить вторжение демонов? ",7.44
Zombie Powder,Порошок зомби,Детектив Комедия Сверхъестественное Сёнен Экшен ," Где-то в пустыне находится величайшее сокровище — 12 колец смерти. Собрав эти кольца вместе, ты сможешь получить таинственный Порошок зомби, который способен подарить бессмертие и воскресить мертвых. В поисках этого порошка отправились многие искатели приключений. И одним из них является Гамма Акутаби. ",8.15
Judgement Overman: Houkago no Kessha,Правосудие сверхлюдей,Сверхъестественное Сёнен Экшен ," Действие происходит в альтернативном Токио, где после войны начали появляться сверхлюди.Они стали частью общества, и живут вместе с обычными людьми.Но есть и те кто идут против системы, их прозвали ""неуправляемые"". ",7.88
"Cherry Boy, That Girl",Она - парень-ягодка!,В цвете Веб Комедия Повседневность Романтика Смена пола Школа ," Что, если глядя на своего парня, ты понимаешь, что он гораздо красивее тебя? Что, если при этом ты ходишь в школу с такими девушками, что рядом с ними выглядишь, как богиня? С другой стороны, твой красавчик-парень ходит в ту же школу... ",7.67
Nusantara Droid War,Нусантара дроид войны,В цвете Веб Сёнен Фэнтези Экшен ," Захватывающее сражения начинается на архипелаге. Вступите на арену, ощутите азарт! Игра с повесткой под названием «дроид», основанная на сказках, началась, кто же станет лучшим в игре? ",9.0
Karakuri Zoushi Ayatsuri Sakon,Рассказы кукловода Сакона,Детектив Сёнен Ужасы ," Герои этой истории – темноволосый юноша кукловод тачибана Сакон и Укон, его марионетка и лучший друг. Сакон – единственный внук Тачибаны Сэмона, знаменитого в Японии кукловода Бунраку. Укон– марионетка, созданная в раннюю эпоху Мейдзи..Никто и не предполагал, что молчаливый и незаметный Сакон, неразлучный со своим другом-марионеткой, окажется неоценимым подспорьем для своей тетки Каоруко, работающей в полиции. Из скромного и застенчивого мальчика, Сакон внезапно превращается в наблюдательного и проницательного детектива.Вдвоем эта странная парочка разгадывает самые изощренные планы преступника. ",7.15
TrainTrain,Поезд Поезд,Комедия Повседневность Сёдзе ," С самого детства Асахи Сарута мечтал пойти работать на железную дорогу, и вот, наконец-то этот день настал, приказ о назначении на станцию зачитан... Но что же это?.. Куда он попал на самом деле?. ",0.0
I Will Be Cinderella,Я буду золушкой,Драма Комедия Романтика Сёдзе ," Мой отец умер, когда я была маленькая, а моя мать была горничной, которая оставила меня на попечение бабушки и дедушки. Последний раз я встречалась с ней, когда ей было 36 лет. Из любопытства я стала погружаться в мир горничных. Я даже поступила в школу для горничных. Моего молодого хозяина зовут Раин. Он … Моё чувство к нему ... Может ли это быть любовью? ",7.0
Sakuranbo Syndrome - Cupid no Itazura II,Вишневый синдром,Драма Комедия Психологическое Романтика Сейнен Хентай Этти ," ""Прогрессирующий синдром омоложения"". Это очень редкое заболевание, в результате которого человек постепенно становится моложе. Главный герой этой истории, Муненори Агава - единственный человек, который может спасти Рену Амами от этой странной болезни. Слюна Агавы - единственная вещь, которая может остановить болезнь Рены, поэтому для того, чтобы она выжила, они должны целоваться каждый день! Это влечет за собой кучу конфликтов и проблем между Агавой и его новой подругой, Саяко Асо. Эта история о любовном треугольнике, и рассказывает она о том, насколько же прочна человеческая любовь. ",8.48
Naisho no Jikan,Время секретов,Комедия Романтика Сёдзе Школа ," В школе Махиро очень серьезна и рассудительна. Но после занятий она работает в косплей-кафе. Она ведет двойную жизнь. Но что, если ее одноклассник Kоки узнает об ее тайне? ",8.03
Suzuki-san no Suzuki-kun,Сузуки-сан и Сузуки-кун,Комедия Сейнен Фэнтези Школа ," Это Миса Сузуки. Её мама и папа постоянно дрались, так что она попросила богов это прекратить. После этого мать исчезла.Спустя время отец Мисы начал покупать всякие вещи, ""пренадлежащие"" богам, из-за чего влез в долги.Теперь главная героиня не верит и ненавидит богов...И тут появляется бог. ",7.86
Boy of the Female Wolf,Девочка в шкуре мальчика,Комедия Романтика Сёдзе Смена пола Школа ," Оставленная матерью на попечении бабушки, Юн Су Ча выросла жестокой и озлобленной на весь мир. Выглядит как парень, да и подраться не прочь, ее устраивал нынешний образ жизни. Однако вскоре ее бабушка умирает и Юн Су приходится отправится в Сеул к своей матери и ее новой семье. По пути она ухитряется ввязаться в драку с одним из лучших бойцов столицы. Так начинается ее новая жизнь... ",6.4
Life Howling,Завывание Жизни,В цвете Веб Игры ЛитRPG Приключения Романтика Сейнен Фэнтези ," Кто не читал манхву ""Геймер"" от этих создателей? Думаю, что все. Однако наш здешний главный герой не очень похож на геймера, но всё же попадает в очень странное место, напоминащее начальную локацию РПГ-игры, без малейшего понятия как это с ним произошло и почему у него такие странные базовые характеристики и навыки. Сможет ли он понять как тут всё устроенно до того как он умрёт или нет? ",8.41
Wingding Orgy: Hot Tails Extreme,Вечеринка трупов: Musume,Детектив Драма Комедия Психологическое Романтика Сверхъестественное Сейнен Смена пола Трагедия Ужасы Хентай Школа Этти ," Дело было после одного дождливого дня в школе... Группа студентов задержались в школе чтобы подготовиться к школьному фестивалю. Поначалу они просто рассказывали страшилки, но потом случилось ужасное землетрясение и всё вокруг них обрушилось. Они проснулись и поняли, что они в своей школе из параллельного мира. Здание школы ветхое и заброшенное и даты на календарях показывают 1927 год. Смогут ли они выбраться из этого кошмара, или они обречены и их ожидает та же учесть, что и все эти трупы, валяющиеся по всей школе?Описание: Rikudou-Sennin ClanСвязанные произведения лучше читать в такой последовательности:1. Corpse Party: Blood Covered2. Corpse Party: Musume3. Corpse Party: Another Child4. Corpse Party: Book of Shadows4. Corpse Party Cemetery 0: Kaibyaku no Ars Moriendi5. Corpse Party: Sachiko no Renai Yuugi - Hysteric Birthday 2U6. Corpse Party ",6.31
Necro Dancer,Танцующий со смертью,Вампиры Детектив Приключения Сейнен Ужасы Фэнтези Экшен , Жила была девочка. И была у нее мечта. Спасать людей от злых демонов. Кому в итоге пришлось спасать мир - читайте сами ,7.25
Koisome Momiji,Клён цвета любви,Комедия Романтика Сёнен Школа Этти ," Существует легенда, которая гласит, что если вы найдете восьмиконечный японский клевер, то встретите свою вечную любовь, истинного спутника жизни. Известная школьная актриса работает над фильмом, в основе сюжета, которого лежит эта легенда. Наш главный герой по уши в неё влюблен, но не может найти повода, чтобы рассказать о своих чувствах. Однажды, он случайно встречает её в школе и помогает избежать встречи с приставучими фанатами. Поговорив с ней он выясняет, что сразу после средней школы она начала работать как актриса и у неё просто не было времени на личную жизнь, а следовательно у неё совсем нет опыта для игры в таком фильме. Поэтому, чтобы набраться опыта в любовных делах она приглашает его на свидание! Чем же обернётся их знакомство?! Что ж, посмотрим, как покажет себя эта романтическая история. ",8.37
Sekirei,Секирэй,Боевые искусства Гарем Драма Игры Комедия Романтика Сверхъестественное Сейнен Супер сила Экшен Этти ," В 2020 году в Токио живёт Минато Сахаси, дважды проваливший вступительные экзамены, стесняющийся женского общества и не имеющий работы. С детства он не смел перечить своей матери и даже младшей сестрёнке, и эта нерешительность сохранилась и во взрослой жизни. На самом деле, Минато чрезвычайно умён, но его нерешительность и неспособность переносить стрессы постоянно приводят его к неудачам. В результате многие считают его идиотом и неудачником.  Однажды Минато встречает девушку Мусуби, которая буквально сваливается с неба. Минато вскоре узнаёт, что она одна из «сэкирэй», супервоинов, обладающих сверхъестественными способностями. Сэкирэй, большинство из которых — милые и сексуальные девушки, участвуют в опасной и подчас смертельной игре, известной как «Игра Сэкирэй», организованной Минакой Хирото, председателем таинственной и влиятельной корпорации MBI. ",8.62
Mahouka Koukou no Rettousei: Tsuioku-hen,Непутевый ученик в школе магии - Воспоминания,Магия Научная фантастика Приключения Романтика Сверхъестественное Сёнен Фантастика Фэнтези Экшен ," Три года назад мир вокруг Тацуи и Миюки резко изменился. Поездка на Окинаву и события, за ней последовавшие, изменили наших героев. В лучшую или худшую сторону - решайте сами.Данная манга соответствует восьмому тому оригинальной новеллы. Однако действия происходят за три года до событий, описанных в первом томе, так что данное произведение является приквелом и его можно читать отдельно от других связанных с ним произведений.Серия состоит из следующих арок: 1. Mahouka Koukou no Rettousei2. Mahouka Koukou no Rettousei - Kyuukousen Hen3. Mahouka Koukou no Rettousei - Yokohama Souran Hen4. Mahouka Koukou no Rettousei - Tsuioku Hen ",9.0
Last Game,Последняя Битва,Драма Комедия Романтика Сёдзе Школа ," Богатый, умный... Девчонки толпами падали у его ног, к тому же он был еще и лучшим учеником в школе... По крайней мере до того, как туда перевелась Кудзё. Она - тихоня без гроша в кармане - в один момент превзошла Янаги и в учебе, и в спорте! Янаги живет лишь предвкушением победы над этой девчонкой, и спустя десять лет, когда они оба переходят в старшую школу, он наконец-то побеждает! Какой же будет их последняя битва?Описание: Koi Sora ",9.07
Kotsukuri no Houhou Ooshieshimasu,Я научу тебя делать детей,Комедия Сёнен Этти , Хануму Кё посещает бог Карма-чан. Миссия Кармы-чан - решить проблему снижения рождаемости в Японии. Как Кё может помочь ей с этим? ,7.58
A Fairytale for the Demon Lord,Сказка для Дьявола,В цвете Веб Детектив Драма Приключения Романтика Фэнтези Экшен ," ""Честь, положение, слава... ничто не имеет значения, если только тобой я владею... "" ",7.59
Eiyuu Kyoushitsu: Honoo no Empress,Класс для героев,Романтика Сейнен Фэнтези Школа Экшен ," Когда-то давно в этих землях властвовал над всем живущим могущественный Темный Лорд. Тирания его продолжалась до тех пор, пока не появился столь же могущественный герой, восставший против него, дабы сокрушить. Для борьбы с будущими угрозами была основана Академия Палисандр. Сегодня в Академию Палисандр принимают только лучших из лучших, и Пламенный Арнест является таковым. Лучший ученик академии - покладистая девушка по прозвищу ""Императрица Пламени"". Столкновение в прихожей академии с ранее ей незнакомым Арнестом, равным с ней по силам, раздражает девушку. Он представляется как ""Клинок"". Скоро юноша узнает, что его не только переводят в академию в качестве нового студента, но и то, что король лично просил помочь ему приспособиться к школьной жизни в Академии Палисандр. ",7.95
So Ra No Wo To,Звуки небес,Музыка Повседневность Романтика Сёдзе Сейнен Фэнтези Школа ," Компания «Небеса». Работа «Вестника Смерти» заключается в доставке душ на небо. Вестники делятся на ранги в соответствии с их способностями. Ука, Ранга Ц, самая обычная беззаботная старшеклассница. Однажды она объединяется с Тсумуги, Ранга А, одним из этой высокомерной и бесцеремонной элиты! ",7.75
The Enchained Spiritual Beast Ga-Rei,Скованный духовный зверь,Боевые искусства Демоны Детектив Комедия Приключения Романтика Сверхъестественное Сёнен Школа Экшен ," Какова жизнь человека, способного видеть духов и призраков? Нимура Кенсуке знает это на личном опыте - она тяжела и полна неожиданностей. И как следствие - личная жизнь и того хуже. Но в самом деле, что же делать? Не обращать внимания? Или рассказывать всем и каждому о своём даре с тщетной надеждой, что хоть кто-то поверит? А может устроиться на телевидение в какое-нибудь шоу в качестве медиума? Пожалуй, вариантов немало... И неизвестно какому бы пути последовал Кенсуке, не встреться ему Кагура, девушка, занимающаяся профессиональной охотой на духов и призраков. С помощью прикованного к её душе демонического зверя она уничтожает их сотнями, для неё это работа и призвание.Она то и предложила ему ""поработать"" в её конторе...Описание: Action Manga TeamДополнение Ga-rei: Tsuina no Shou ",8.12
Sougiya Riddle,Гробовщик Риддл,Комедия Сверхъестественное Сёнен ," Сакура Хаято обычный ученик старшей школы...ну или почти обычный. Он мало того, что видит духов, так еще и они без ума от него. Из-за этого он не может жить обычной жизнью ОЯШа. Но в его день рождения, как и положено в такого вида мангах, появляется красивый парень и спасает его от ""прилипших"" к нему духов. После оказывается, что он ни кто-то там а сам гробовщик, который предлагает Хаято присоединиться к нему...[Yukichi] ",8.36
